hood,cnt
Auburndale,24
Bay Ridge,24
Baychester,24
Bedford Park,24
Bensonhurst,24
Borough Park,24
Brownsville,24
Canarsie,24
Carnegie Hill,24
Central Park,24
Chelsea,24
Chinatown,22
City Island,24
Clearview,24
Clinton,23
Corona,24
Country Club,24
Douglastown-Little Neck,24
Dyker Heights,24
East Brooklyn,24
East Village,24
Financial District,23
Flatbush,24
Fordham,24
Garment District,23
Glendale,24
Gramercy,24
Gravesend-Sheepshead Bay,24
Greenwich Village,22
Greenwood,24
Hunts Point,24
Inwood,23
Kings Bridge,24
Laurelton,24
Little Italy,22
Lower East Side,24
Mapleton-Flatlands,24
Maspeth,24
Middle Village,24
Midtown,24
Morris Heights,24
Morris Park,24
Murray Hill,22
Parkchester,22
Queens Village,24
Queensboro Hill,24
Ridgewood,24
Riverdale,24
Saintalbans,24
Soho,23
Soundview,24
Springfield Gardens,24
Spuyten Duyvil,24
Sunset Park,24
The Rockaways,24
Throggs Neck,24
Tremont,24
Tribeca,22
Union Port,24
University Heights,24
Upper East Side,24
Upper West Side,24
Utopia,24
Wakefield-Williamsbridge,24
West Village,21
Williams Bridge,24
Woodhaven-Richmond Hill,24
Woodlawn-Nordwood,24
