hood,cnt
Auburndale,24
Bay Ridge,24
Baychester,24
Bedford Park,24
Bedford-Stuyvesant,24
Bensonhurst,24
Boerum Hill,24
Borough Park,24
Brownsville,24
Bushwick,24
Canarsie,24
Carroll Gardens,24
Chinatown,24
City Island,24
Clearview,24
Cobble Hill,24
Corona,24
Country Club,24
Douglastown-Little Neck,24
Downtown,24
Dyker Heights,24
East Brooklyn,24
East Harlem,24
Flatbush,24
Flushing,24
Fordham,24
Forest Hills,24
Fort Green,24
Glendale,24
Gravesend-Sheepshead Bay,24
Greenwood,24
Hamilton Heights,24
Harlem,23
High Bridge,24
Hunts Point,24
Inwood,24
Jackson Heights,24
Jamaica,24
Kings Bridge,24
Laurelton,24
Mapleton-Flatlands,24
Maspeth,24
Middle Village,24
Morningside Heights,24
Morris Heights,24
Morris Park,24
Mott Haven,24
Nkew Gardens,24
Park Slope,24
Parkchester,24
Queens Village,24
Queensboro Hill,24
Ridgewood,24
Riverdale,24
Saintalbans,24
Soundview,24
South Bronx,24
Springfield Gardens,24
Spuyten Duyvil,24
Steinway,24
Sunny Side,23
Sunset Park,24
The Rockaways,24
Throggs Neck,24
Tremont,24
Union Port,24
University Heights,24
Utopia,24
Wakefield-Williamsbridge,24
Washington Heights,24
Williams Bridge,24
Woodhaven-Richmond Hill,24
Woodlawn-Nordwood,24
Woodside,24
Yorkville,21
