Hour,Weekday,Weekend,Holiday	
0,582913,612685,38844	
1,393311,545103,33249	
2,249921,431806,25381	
3,179485,342282,20002	
4,178023,266977,17552	
5,160207,135772,11565	
6,288301,107561,10886	
7,648435,127390,13287	
8,980506,173444,17091	
9,950851,238222,19946	
10,827900,288867,21286	
11,773949,327266,23494	
12,763107,351148,25550	
13,767192,368370,28243	
14,881085,407248,31887	
15,991060,446424,37000	
16,1086971,477564,39808	
17,1225721,499404,41061	
18,1346576,538521,44399	
19,1320935,550201,43245	
20,1182975,522329,39764	
21,1096143,514530,37986	
22,1025997,514817,37428	
23,924847,500032,34695	
