Hour,Weekday,Weekend,Holiday	
0,5795981,4978731,293356	
1,3599639,4443021,237762	
2,2323764,3641655,186516	
3,1548944,2790135,142536	
4,1390708,1776047,105760	
5,1956381,828061,73784	
6,5259700,877238,104342	
7,9245412,1240898,148426	
8,10915934,1902923,192355	
9,10405033,2771812,228656	
10,9330701,3508758,254770	
11,9274716,4019851,290482	
12,9559125,4313159,321952	
13,9352107,4313645,329750	
14,9792641,4207169,338923	
15,9152788,4062379,337006	
16,7562842,3667305,311667	
17,9653159,4068561,341104	
18,12261001,4606868,383222	
19,12965029,4619256,373372	
20,12395725,4171858,340101	
21,12254940,4060027,330678	
22,11598393,4121609,311033	
23,9837466,3911310,250019	
