Hour,Weekday,Weekend,Holiday	
0,8805099.93,9108517.96,541662.51	
1,5083065.7,7882032.75,465145.39	
2,3185655.2,6148416.57,359946.48	
3,2362761.96,4910257.26,285096.49	
4,2690858.04,3877256.17,262154.46	
5,2859802.84,2084691.63,188307.21	
6,4826952.51,1739091.99,178901.43	
7,9595408.84,1964905.75,206386.57	
8,14460840.67,2566949.13,255150.05	
9,14110154.43,3380010.86,292746.4	
10,11985756.56,4040631.37,301170.6	
11,11093577.94,4607211.89,330439.13	
12,10760574.12,4997107.76,357270.14	
13,10738782.92,5256223.08,401099.45	
14,12393571.82,5798255.3,454745.35	
15,14038654.98,6336160.19,516280.3	
16,16230088.01,6783073.04,556333.65	
17,17881061.46,7018559.49,553488.71	
18,19044595.49,7542241.07,595196.87	
19,18273064.24,7636450.75,569866.59	
20,15866721.67,7398290.27,547250.52	
21,15087098.8,7361998.56,535298.83	
22,14563124.72,7577572.16,539626.34	
23,13213276.86,7437586.82,502020.75	
