Hour,Weekday,Weekend,Holiday	
0,85898034.31,72985717.35,4138293.88	
1,53381600.84,65462963.2,3477462.53	
2,34860610.36,54284923.16,2799072.25	
3,24356717.12,44477593.24,2232512.0	
4,25606102.67,29015809.62,1837923.69	
5,33384040.38,14771742.43,1364347.28	
6,69722940.13,14437587.43,1637914.14	
7,117705312.46,17656525.29,2031678.05	
8,145262479.83,24739980.74,2547798.41	
9,140212364.35,34259059.67,2921668.64	
10,125493113.85,43443419.8,3208990.08	
11,126939103.26,49983985.53,3672606.66	
12,131373328.86,54579298.29,4063662.33	
13,130238760.61,56430729.05,4210738.5	
14,138729220.02,55766555.05,4433674.68	
15,129084006.31,53957896.96,4362643.19	
16,110720501.42,48385882.51,3939211.84	
17,139538029.95,53469943.23,4244065.4	
18,172438746.07,60048280.48,4646975.62	
19,177174194.28,62823440.75,4454735.22	
20,167097888.26,54607286.83,4303647.85	
21,170891790.92,53522319.26,4259446.84	
22,167155664.76,56018793.88,4144903.21	
23,145075253.98,55166776.2,3432830.31	
