src,dest,cnt
Harlem,Harlem,1081684
Astoria-Long Island City,Astoria-Long Island City,986099
Jackson Heights,Jackson Heights,600253
Fort Green,Fort Green,460866
Washington Heights,Washington Heights,335068
Bedford-Stuyvesant,Bedford-Stuyvesant,325245
Fort Green,Bedford-Stuyvesant,308342
Harlem,Upper West Side,305866
Morningside Heights,Upper West Side,304178
Forest Hills,Forest Hills,298893
Yorkville,Upper East Side,298502
Williamsburg,Williamsburg,283620
Harlem,East Harlem,274844
Harlem,Hamilton Heights,261031
East Harlem,Harlem,260653
Yorkville,East Harlem,210553
Harlem,Morningside Heights,210269
Harlem,Upper East Side,207368
Park Slope,Park Slope,198787
Yorkville,Upper West Side,189171
Morningside Heights,Harlem,183714
Yorkville,Harlem,177112
Astoria-Long Island City,Sunny Side,176535
Williamsburg,Fort Green,168873
Downtown,Fort Green,166153
Astoria-Long Island City,Jackson Heights,162385
Sunny Side,Sunny Side,161477
Fort Green,Williamsburg,155810
Bedford-Stuyvesant,Fort Green,155475
Harlem,Washington Heights,155256
