season,hood,m_hood,cnt
Fall,Midtown,New York City-Manhattan	,11404895
Fall,Upper East Side,New York City-Manhattan	,9387857
Fall,Upper West Side,New York City-Manhattan	,5998104
Fall,Gramercy,New York City-Manhattan	,5313360
Fall,Chelsea,New York City-Manhattan	,4569696
Fall,Garment District,New York City-Manhattan	,3650697
Fall,Greenwich Village,New York City-Manhattan	,2829719
Fall,Murray Hill,New York City-Manhattan	,2463360
Fall,Clinton,New York City-Manhattan	,2368247
Fall,East Village,New York City-Manhattan	,2293471
Fall,Financial District,New York City-Manhattan	,1708992
Fall,West Village,New York City-Manhattan	,1693604
Fall,Soho,New York City-Manhattan	,1531599
Fall,Lower East Side,New York City-Manhattan	,1502644
Fall,Tribeca,New York City-Manhattan	,1150550
Fall,Central Park,New York City-Manhattan	,937729
Fall,Carnegie Hill,New York City-Manhattan	,930188
Fall,Harlem,New York City-Manhattan	,775675
Fall,Yorkville,New York City-Manhattan	,749310
Fall,Battery Park,New York City-Manhattan	,687756
Fall,Astoria-Long Island City,New York City-Queens	,626762
Fall,Williamsburg,New York City-Brooklyn	,620606
Fall,North Sutton Area,New York City-Manhattan	,590374
Fall,Morningside Heights,New York City-Manhattan	,571343
Fall,Fort Green,New York City-Brooklyn	,500561
Fall,Little Italy,New York City-Manhattan	,479677
Fall,East Harlem,New York City-Manhattan	,433988
Fall,Sunny Side,New York City-Queens	,424493
Fall,Washington Heights,New York City-Manhattan	,400247
Fall,Bedford-Stuyvesant,New York City-Brooklyn	,324845
Fall,Park Slope,New York City-Brooklyn	,292630
Fall,Hamilton Heights,New York City-Manhattan	,273728
Fall,Chinatown,New York City-Manhattan	,228968
Fall,Downtown,New York City-Brooklyn	,196836
Fall,Bushwick,New York City-Brooklyn	,170475
Fall,Jackson Heights,New York City-Queens	,169981
Fall,Carroll Gardens,New York City-Brooklyn	,143834
Fall,Boerum Hill,New York City-Brooklyn	,117917
Fall,Woodside,New York City-Queens	,112588
Fall,Forest Hills,New York City-Queens	,107390
Fall,Cobble Hill,New York City-Brooklyn	,64902
Fall,Mott Haven,New York City-Bronx	,62858
Fall,Bay Ridge,New York City-Brooklyn	,61629
Fall,Inwood,New York City-Manhattan	,58934
Fall,Mapleton-Flatlands,New York City-Brooklyn	,54201
Fall,South Bronx,New York City-Bronx	,51610
Fall,Borough Park,New York City-Brooklyn	,50293
Fall,Ridgewood,New York City-Queens	,48783
Fall,Flushing,New York City-Queens	,48547
Fall,Nkew Gardens,New York City-Queens	,44297
Fall,Greenwood,New York City-Brooklyn	,44171
Fall,Gravesend-Sheepshead Bay,New York City-Brooklyn	,42656
Fall,Sunset Park,New York City-Brooklyn	,42106
Fall,High Bridge,New York City-Bronx	,38676
Fall,Jamaica,New York City-Queens	,35461
Fall,Maspeth,New York City-Queens	,34106
Fall,Utopia,New York City-Queens	,32223
Fall,Riverdale,New York City-Bronx	,25169
Fall,Woodhaven-Richmond Hill,New York City-Queens	,22679
Fall,Middle Village,New York City-Queens	,22513
Fall,East Brooklyn,New York City-Brooklyn	,19299
Fall,Canarsie,New York City-Brooklyn	,18974
Fall,Parkchester,New York City-Bronx	,18687
Fall,Bedford Park,New York City-Bronx	,18596
Fall,Bensonhurst,New York City-Brooklyn	,18209
Fall,Kings Bridge,New York City-Bronx	,17777
Fall,Tremont,New York City-Bronx	,16901
Fall,Brownsville,New York City-Brooklyn	,16347
Fall,Spuyten Duyvil,New York City-Bronx	,15666
Fall,Soundview,New York City-Bronx	,15572
Fall,Springfield Gardens,New York City-Queens	,15370
Fall,Morris Heights,New York City-Bronx	,13263
Fall,Fordham,New York City-Bronx	,13188
Fall,Queensboro Hill,New York City-Queens	,12651
Fall,University Heights,New York City-Bronx	,12554
Fall,Douglastown-Little Neck,New York City-Queens	,12212
Fall,Dyker Heights,New York City-Brooklyn	,12142
Fall,Morris Park,New York City-Bronx	,11912
Fall,Glendale,New York City-Queens	,10712
Fall,Auburndale,New York City-Queens	,8131
Fall,Wakefield-Williamsbridge,New York City-Bronx	,8095
Fall,Union Port,New York City-Bronx	,7866
Fall,Saintalbans,New York City-Queens	,7739
Fall,Woodlawn-Nordwood,New York City-Bronx	,7265
Fall,Laurelton,New York City-Queens	,6800
Fall,Throggs Neck,New York City-Bronx	,6774
Fall,Williams Bridge,New York City-Bronx	,6737
Fall,The Rockaways,New York City-Queens	,6538
Fall,Hunts Point,New York City-Bronx	,6476
Fall,Queens Village,New York City-Queens	,6207
Fall,Clearview,New York City-Queens	,5990
Fall,Country Club,New York City-Bronx	,5280
Fall,Baychester,New York City-Bronx	,2572
Fall,Corona,New York City-Queens	,1085
Fall,City Island,New York City-Bronx	,854
Fall,Flatbush,New York City-Brooklyn	,285
Fall,Steinway,New York City-Queens	,56
Fall,Whitestone,New York City-Queens	,6
Spring,Midtown,New York City-Manhattan	,12894476
Spring,Upper East Side,New York City-Manhattan	,10320536
Spring,Upper West Side,New York City-Manhattan	,6573381
Spring,Gramercy,New York City-Manhattan	,5879185
Spring,Chelsea,New York City-Manhattan	,5035200
Spring,Garment District,New York City-Manhattan	,4054190
Spring,Greenwich Village,New York City-Manhattan	,3150113
Spring,Murray Hill,New York City-Manhattan	,2727428
Spring,Clinton,New York City-Manhattan	,2619534
Spring,East Village,New York City-Manhattan	,2533780
Spring,West Village,New York City-Manhattan	,1874716
Spring,Financial District,New York City-Manhattan	,1850630
Spring,Lower East Side,New York City-Manhattan	,1690565
Spring,Soho,New York City-Manhattan	,1678926
Spring,Tribeca,New York City-Manhattan	,1265737
Spring,Central Park,New York City-Manhattan	,1036467
Spring,Carnegie Hill,New York City-Manhattan	,1001224
Spring,Harlem,New York City-Manhattan	,893952
