Time,Conditions
2014010100,Clear
2014010101,Clear
2014010102,Clear
2014010103,Clear
2014010104,Clear
2014010105,Clear
2014010106,Clear
2014010107,Clear
2014010108,Clear
2014010109,Clear
2014010110,Clear
2014010111,Mostly Cloudy
2014010112,Partly Cloudy
2014010113,Partly Cloudy
2014010114,Clear
2014010115,Overcast
2014010117,Clear
2014010118,Clear
2014010119,Scattered Clouds
2014010120,Overcast
2014010121,Overcast
2014010121,Overcast
2014010122,Overcast
2014010123,Overcast
2014010200,Overcast
2014010201,Overcast
2014010202,Overcast
2014010203,Overcast
2014010204,Light Snow
2014010204,Overcast
2014010205,Light Snow
2014010205,Light Snow
2014010205,Overcast
2014010206,Overcast
2014010207,Overcast
2014010208,Overcast
2014010209,Overcast
2014010210,Overcast
2014010211,Overcast
2014010212,Overcast
2014010213,Overcast
2014010214,Overcast
2014010215,Overcast
2014010216,Overcast
2014010217,Overcast
2014010218,Light Snow
2014010220,Snow
2014010221,Snow
2014010222,Snow
2014010223,Snow
2014010300,Snow
2014010300,Heavy Snow
2014010301,Heavy Snow
2014010302,Heavy Snow
2014010303,Heavy Snow
2014010304,Heavy Snow
2014010305,Light Snow
2014010306,Light Snow
2014010307,Light Snow
2014010308,Light Snow
2014010309,Light Snow
2014010310,Overcast
2014010311,Partly Cloudy
2014010313,Clear
2014010314,Clear
2014010315,Clear
2014010316,Clear
2014010317,Clear
2014010318,Clear
2014010319,Clear
2014010320,Clear
2014010321,Clear
2014010322,Clear
2014010323,Clear
2014010400,Clear
2014010403,Clear
2014010404,Clear
2014010405,Clear
2014010406,Mostly Cloudy
2014010407,Clear
2014010408,Clear
2014010409,Clear
2014010410,Clear
2014010411,Clear
2014010412,Clear
2014010413,Clear
2014010414,Clear
2014010415,Clear
2014010416,Clear
2014010417,Clear
2014010418,Clear
2014010419,Clear
2014010420,Clear
2014010421,Clear
2014010422,Clear
2014010423,Clear
2014010500,Clear
2014010501,Clear
2014010502,Clear
2014010503,Clear
2014010504,Clear
2014010505,Partly Cloudy
2014010506,Overcast
2014010507,Overcast
2014010508,Haze
2014010509,Haze
2014010509,Overcast
2014010509,Overcast
2014010509,Overcast
2014010510,Overcast
2014010510,Overcast
2014010510,Overcast
2014010510,Overcast
2014010510,Overcast
2014010511,Overcast
2014010511,Overcast
2014010511,Fog
2014010512,Overcast
2014010512,Overcast
2014010512,Overcast
2014010513,Overcast
2014010513,Overcast
2014010513,Overcast
2014010513,Overcast
2014010514,Overcast
2014010515,Overcast
2014010516,Overcast
2014010517,Overcast
2014010518,Overcast
2014010519,Fog
